,Question,History8,Rewrite
0,I just had a breast biopsy for cancer. What are the most common types?,,I just had a breast biopsy for cancer. What are the most common types of breast cancer?
1,"Once it breaks out, how likely is it to spread?","I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  Invasive breast cancer is when the cancer cells break out from inside the lobules or ducts and invade nearby tissue, increasing the chance of spreading to other parts of the body","Once it breaks out, how likely is lobular carcinoma breast cancer to spread?"
2,How deadly is it?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |  How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS",How deadly is lobular carcinoma in situ?
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.",I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  How is lobular carcinoma in situ diagnosed? You often won’t have any symptoms with LCIS | How deadly is lobular carcinoma in situ? | ,"What? No, I want to know about the deadliness of lobular carcinoma in situ."
4,"Wow, that's better than I thought.  What are common treatments?","I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  | How deadly is lobular carcinoma in situ? |  | What? No, I want to know about the deadliness of lobular carcinoma in situ. |  However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer","Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?"
5,How does it behave differently from PLCIS?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  |  |  | What? No, I want to know about the deadliness of lobular carcinoma in situ. |  However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |  If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found",How does LCIS behave differently from PLCIS?
6,What makes lobular cancer distinct?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  |  |  | What? No, I want to know about the deadliness of lobular carcinoma in situ. |  However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |  If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found | How does LCIS behave differently from PLCIS? |  When she went to two other pathologists, both confirmed a cancer diagnosis",What makes lobular cancer distinct?
7,"For the first stage, what are the alternatives to surgery?","I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  |  |  |  |  However, people diagnosed with either condition have a slightly higher risk than the general population of developing breast cancer | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |  If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found | How does LCIS behave differently from PLCIS? |  When she went to two other pathologists, both confirmed a cancer diagnosis | What makes lobular cancer distinct? |  The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years","For the first stage, what are the alternatives to surgery for invasive lobular cancer?"
8,"No, I meant for lobular.","I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  |  |  |  |  | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |  If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found | How does LCIS behave differently from PLCIS? |  When she went to two other pathologists, both confirmed a cancer diagnosis | What makes lobular cancer distinct? |  The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years | For the first stage, what are the alternatives to surgery for invasive lobular cancer? |  Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the","No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer."
9,Does freezing work?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? |  |  |  |  |  |  |  |  |  If your lobular neoplasia is diagnosed by a core biopsy, your doctor may recommend removing more tissue from the area where the lobular neoplasia was found | How does LCIS behave differently from PLCIS? |  When she went to two other pathologists, both confirmed a cancer diagnosis | What makes lobular cancer distinct? |  The overall breast cancer survival rates for infiltrating lobular carcinoma, when matched by stage, are a little higher than for ductal carcinoma for the first 5 years | For the first stage, what are the alternatives to surgery for invasive lobular cancer? |  Treatment of invasive carcinoma of no special type (NST) depends on the size of the mass (size of the | No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. |  The difference is determined by the size of the tumor and the lymph nodes with evidence of cancer",Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?
